county_fips,year,median_income,median_age,pct_white_nh,pct_black_nh,pct_hispanic,pct_bachelors_plus,nchs_rurality_2013,acs_matched
00000,2016,,,,,,,,False
00000,2018,,,,,,,,False
00000,2020,,,,,,,,False
00000,2022,,,,,,,,False
00000,2024,,,,,,,,False
01001,2014,52475.0,37.9,0.7623512768427162,0.1841990713871155,0.02522852582704585,0.2194132420721442,3,True
01001,2016,53099.0,37.8,0.7568348198877364,0.18370905920180203,0.025722538102417845,0.24592771348653542,3,True
01001,2018,58786.0,37.8,0.7502173913043478,0.1897644927536232,0.027681159420289855,0.2768928590647366,3,True
01001,2020,57982.0,38.6,0.7397688671615233,0.19498912633224896,0.02877478028001941,0.28317485472794507,3,True
01001,2022,68315.0,39.0,0.7255662769524004,0.19563996528309593,0.03172172018856044,0.29558574698915097,3,True
01001,2024,72481.0,39.0,0.7062238310507615,0.20424708492501709,0.03818372896058185,0.291384808658678,3,True
01003,2014,50183.0,41.8,0.8318140215998535,0.09326638947726262,0.04513480296017364,0.2862449068411535,4,True
01003,2016,51365.0,42.3,0.8317878803067515,0.09225602726680367,0.04366698411107213,0.2954711102853958,4,True
01003,2018,55962.0,42.8,0.8301883165871403,0.0938411490243,0.04494322632107522,0.31345883025260396,4,True
01003,2020,61756.0,43.2,0.8289698518935906,0.08716426388869801,0.045568031371255535,0.319073301492,4,True
01003,2022,71039.0,43.7,0.8232413674920743,0.08276068888698483,0.04802501927855368,0.32561578714181366,4,True
01003,2024,78775.0,43.9,0.8074286709124698,0.08026268376324451,0.05780014494572633,0.3368950841083613,4,True
01005,2014,35634.0,38.3,0.46111582285482505,0.4619639367233305,0.047310004056196765,0.1360692291356976,6,True
01005,2016,33956.0,38.7,0.4588562410761253,0.4788832945066506,0.04309761779514541,0.12867787023440475,6,True
01005,2018,34186.0,39.9,0.4614847568070747,0.473159568691335,0.04289814599332868,0.12215924723490892,6,True
01005,2020,34990.0,40.1,0.4528090785582994,0.47506593143131143,0.044353871973147926,0.11614317019722425,6,True
01005,2022,39712.0,40.6,0.4455521164127507,0.46878642923182057,0.04831772319813482,0.1188118811881188,6,True
01005,2024,46042.0,40.8,0.4371626831148805,0.46329586495150754,0.06224891449904638,0.10627306273062731,6,True
01007,2014,37984.0,40.0,0.7476272458394032,0.2114951662031519,0.02008563987109875,0.10240387680928394,2,True
01007,2016,39776.0,40.2,0.747651958178274,0.21212121212121213,0.022239943292574872,0.12,2,True
01007,2018,45340.0,39.9,0.7458161317530075,0.2208017046211213,0.02428197274381853,0.11489226869455006,2,True
01007,2020,51721.0,39.9,0.7441673370876911,0.222177527487262,0.026816840976133013,0.11346719209357603,2,True
01007,2022,50669.0,40.3,0.7424385420879961,0.20664239809446766,0.029212170239539797,0.1091993720565149,2,True
01007,2024,52541.0,41.2,0.7338454586534117,0.1972887483054677,0.034613646633529144,0.11725649859066709,2,True
01009,2014,44409.0,40.2,0.8816029143897997,0.014693381906496661,0.08465608465608465,0.12263136331045785,2,True
01009,2016,46212.0,40.8,0.8765770137252183,0.015579509219464854,0.08727297934285318,0.13049756789623024,2,True
01009,2018,48695.0,40.8,0.8714025500910747,0.014224997831555208,0.09126550438025847,0.12642894995836174,2,True
01009,2020,48922.0,41.0,0.866851354861051,0.013349493550341962,0.09284044671457017,0.13251620033154166,2,True
01009,2022,57440.0,40.8,0.8567462802782809,0.012339827682516038,0.09683971765661764,0.14741406766788348,2,True
01009,2024,64190.0,41.3,0.8453913101918747,0.012029974125474647,0.10299405221949662,0.15818234808374218,2,True
01011,2014,34804.0,38.5,0.2218273636958758,0.7144861124099878,0.04030674272888806,0.14087601263215707,6,True
01011,2016,29335.0,39.2,0.2168309325246399,0.7550227445034117,0.0012319939347990902,0.10255011591435974,6,True
01011,2018,32152.0,39.6,0.21522411128284388,0.7624613601236476,0.004926584234930448,0.13302364864864866,6,True
01011,2020,33866.0,39.7,0.21252334611225793,0.6861299518332842,0.08099872210753957,0.10274174528301887,6,True
01011,2022,36136.0,39.2,0.20575135553834237,0.6890975987606507,0.08781951975213013,0.09376746785913918,6,True
01011,2024,31310.0,43.0,0.2101809504871744,0.6945714853847683,0.05985285344999006,0.08116659788141423,6,True
01013,2014,31571.0,40.5,0.5362763728499732,0.4373142328119671,0.011353116016176973,0.14322341713553166,6,True
01013,2016,34315.0,40.6,0.527810650887574,0.43515779092702167,0.01247534516765286,0.1608000573517815,6,True
01013,2018,39109.0,40.7,0.5185518102372035,0.45078651685393256,0.0033458177278401996,0.1609302995391705,6,True
01013,2020,44850.0,41.2,0.5132819628916151,0.44474297880969277,0.014701409307512927,0.15955137481910275,6,True
01013,2022,44429.0,41.6,0.5086665612981403,0.4458142352879195,0.01696433275380644,0.13048394391677973,6,True
01013,2024,44755.0,42.7,0.5049382716049383,0.44696725711218466,0.01696188942565754,0.13538884224986644,6,True
01015,2014,40919.0,38.8,0.7327752461898179,0.2063898417899749,0.03427883876913625,0.16905436841369317,4,True
01015,2016,41954.0,39.1,0.7299776498709906,0.20331713883831107,0.0343622446778216,0.17652966527249844,4,True
01015,2018,45197.0,39.7,0.7247997358772524,0.20519904776798903,0.036516707501433564,0.17968029316989953,4,True
01015,2020,50128.0,39.5,0.7176883244113222,0.2070343934781848,0.0385395892376054,0.18855977813517039,4,True
01015,2022,54339.0,39.2,0.7046280194900225,0.21697284826363183,0.04077064788829393,0.19153437812773183,4,True
01015,2024,55029.0,39.3,0.693410285123611,0.21553105349297957,0.04641226634507709,0.2064954259358357,4,True
01017,2014,32835.0,43.1,0.5764277961925435,0.40230559385174974,0.004634654307588513,0.12220309810671257,5,True
01017,2016,36027.0,43.1,0.5674348874125463,0.404785701687342,0.0043506378975836325,0.12484279366144042,5,True
01017,2018,39872.0,43.0,0.5579140306273281,0.393750369538225,0.02270442854608881,0.13232048888134443,5,True
01017,2020,43875.0,41.9,0.5508421336045711,0.40003589912346305,0.025219134232805817,0.14441967102772285,5,True
01017,2022,48805.0,42.2,0.5429908702184214,0.4075754073731654,0.032618744943950076,0.12733748886910062,5,True
01017,2024,49656.0,41.3,0.5387517547964437,0.3837447356106692,0.040126345343940106,0.14907983037589032,5,True
01019,2014,34983.0,45.2,0.9188618385684664,0.0476153905230013,0.014399815682359266,0.13734978198447303,6,True
01019,2016,38925.0,45.7,0.9187164536432791,0.046067112020697375,0.015638877090010425,0.1396169894083663,6,True
01019,2018,41014.0,45.9,0.9178818705759486,0.049007852086798434,0.015394731752601245,0.12890269372891341,6,True
01019,2020,42509.0,46.8,0.9133474169387363,0.04801229114653351,0.01659304782024198,0.1293423183409079,6,True
01019,2022,46621.0,46.8,0.9074554230324305,0.039889903865331686,0.019107263951493876,0.14592668574205042,6,True
01019,2024,53863.0,47.5,0.9038635381047833,0.037888613764100146,0.018433360845812208,0.1649929018350071,6,True
01021,2014,41785.0,38.3,0.8072451520065782,0.10136817340855622,0.07688266599666523,0.13533834586466165,2,True
01021,2016,42594.0,38.7,0.8061026542209645,0.10009813542688911,0.07624894447360614,0.14854548511854718,2,True
01021,2018,45182.0,38.6,0.8013885727293422,0.09360346005007968,0.07776007284315957,0.14161044540663914,2,True
01021,2020,52141.0,39.5,0.7992162547851496,0.09667701089541758,0.07753641244025641,0.13620535270122375,2,True
01021,2022,62471.0,39.9,0.7911829862649534,0.09424014178112539,0.08116969428444838,0.13973014472867457,2,True
01021,2024,65603.0,38.7,0.7637415202643938,0.09410332231692468,0.10234388589319882,0.16468885672937772,2,True
01023,2014,34325.0,44.6,0.5574339288350805,0.4316403366307397,0.004134061715635612,0.12777080719364284,6,True
01023,2016,32622.0,45.1,0.562053134642884,0.42229246632046363,0.005569353503424399,0.11960203217612193,6,True
01023,2018,34884.0,46.1,0.5636711281070745,0.4260038240917782,0.0055831739961759086,0.1298219584569733,6,True
01023,2020,36634.0,46.6,0.564484515876127,0.42281458251666015,0.005409643277146217,0.13516139479650222,6,True
01023,2022,43299.0,46.7,0.5653169153050753,0.3990054463651433,0.01128739442734233,0.130468404772426,6,True
01023,2024,47813.0,47.4,0.5659935379644588,0.37520193861066237,0.011631663974151859,0.15761412862379207,6,True
01025,2014,30951.0,41.1,0.5348387351466583,0.450080928506573,0.004342505230744937,0.11933797909407666,6,True
01025,2016,32735.0,42.0,0.5317744596933232,0.4549442588642492,0.001730591218255725,0.12137234167547879,6,True
01025,2018,36127.0,42.3,0.5287653257883298,0.45815393447328495,0.0019682617788165826,0.12554831061055127,6,True
01025,2020,37345.0,42.9,0.5225425291209251,0.4570937735690941,0.0058660856448504144,0.1378794228581692,6,True
01025,2022,47549.0,42.7,0.5121432908318154,0.4544626593806922,0.014528580102350594,0.13768342179206994,6,True
01025,2024,49249.0,42.8,0.5112008162178947,0.44599210397906225,0.012198908752162533,0.149741063534167,6,True
01027,2014,35286.0,43.6,0.8004700007343761,0.14584710288609826,0.03113754865241977,0.08575883575883576,6,True
01027,2016,38815.0,43.7,0.8026403619372543,0.1474449306534154,0.03107616999184158,0.11062883760321829,6,True
01027,2018,41225.0,43.7,0.802810584541785,0.1473314396770818,0.03102107938406339,0.1016693591814755,6,True
01027,2020,42678.0,43.4,0.8041400075272864,0.15318027850959728,0.030861874294316898,0.11781026571337104,6,True
01027,2022,48074.0,43.9,0.8012527271447674,0.12597649377155323,0.030755155183334507,0.12762359494678205,6,True
01027,2024,55250.0,44.7,0.7888246899661782,0.12810033821871478,0.03276493799323563,0.14714215925744992,6,True
01029,2014,37008.0,41.3,0.9270847231487659,0.028685790527018012,0.022081387591727817,0.10564610011641444,6,True
01029,2016,36316.0,41.5,0.9279567740644387,0.02361416850110066,0.023280635047695283,0.11528072544858191,6,True
01029,2018,40188.0,42.5,0.9264292408622306,0.026308742803588164,0.024233498460302583,0.13671613212063188,6,True
01029,2020,46320.0,43.1,0.9259630818619583,0.0263509898341359,0.02541466024612092,0.16018219776048587,6,True
01029,2022,51553.0,42.2,0.9220813523507659,0.02713946117274168,0.026479133650290546,0.16491063029162747,6,True
01029,2024,55345.0,42.7,0.9221444314793207,0.03643199792558019,0.021068326202515236,0.16992276238073603,6,True
01031,2014,45558.0,38.2,0.7182509955446911,0.16906517367819265,0.0637937152545046,0.2320810173733376,5,True
01031,2016,47872.0,39.3,0.7137141848561511,0.17004961659900766,0.06558020042752642,0.2366672444675565,5,True
01031,2018,53155.0,39.3,0.706266573077523,0.17052721884261426,0.0691974730931212,0.23416017415215398,5,True
01031,2020,56799.0,39.5,0.6961981699146216,0.16344423599678395,0.07678318465484896,0.21727515583259127,5,True
01031,2022,62199.0,39.2,0.6884930637241173,0.1605332437125413,0.08401949252226516,0.2160794397636503,5,True
01031,2024,68353.0,39.0,0.6749271667880553,0.15566278222869628,0.09825200291332847,0.22484318876320164,5,True
01033,2014,39914.0,42.3,0.7909379530564681,0.15949422840469069,0.023416711016498136,0.17643189770843748,4,True
01033,2016,43786.0,42.4,0.788531916067455,0.1564816006767567,0.024017507402026593,0.18470904862689766,4,True
01033,2018,47558.0,42.7,0.786585925314249,0.15709698137443803,0.024754564638957702,0.1872767741601532,4,True
01033,2020,47962.0,42.5,0.7801735902614771,0.16043452153501828,0.028949906290372474,0.17370831947181206,4,True
01033,2022,56149.0,42.0,0.7767592107560678,0.1601361969617601,0.0320761306093941,0.18043345169584915,4,True
01033,2024,60628.0,42.9,0.7707421322946468,0.15495846403088484,0.035314191168866985,0.2165529300337567,4,True
01035,2014,24433.0,43.6,0.5105121293800539,0.4477474008471313,0.015864458991143627,0.0832026875699888,6,True
01035,2016,27609.0,44.0,0.5072064267149721,0.4621564149011578,0.017641962668346854,0.08662579473206176,6,True
01035,2018,33177.0,44.8,0.5013584785040754,0.4763464919290395,0.008390602525171808,0.10725587703435804,6,True
01035,2020,35444.0,45.2,0.5006137981831574,0.4805630575333497,0.004828545707504706,0.13834126444595513,6,True
01035,2022,39888.0,46.2,0.49680373185901866,0.4796993780234969,0.006910850034554251,0.13314244810307801,6,True
01035,2024,41327.0,46.7,0.4995121951219512,0.4493126385809313,0.010376940133037695,0.13418411597075952,6,True
01037,2014,32340.0,44.8,0.6500400106695119,0.3133279985773984,0.02116119854183338,0.09065466050133852,5,True
01037,2016,31910.0,44.9,0.6502209131075111,0.3236377025036819,0.01288659793814433,0.09940558998355888,5,True
01037,2018,38301.0,46.9,0.6526024873330263,0.34205435283279595,0.004606172270842929,0.1157958687727825,5,True
01037,2020,43571.0,49.0,0.6473448017950636,0.3226439790575916,0.01280852655198205,0.11556575292839029,5,True
01037,2022,52279.0,50.2,0.6420757091683609,0.3020621550972989,0.02749540129731823,0.10634861473474966,5,True
01037,2024,57355.0,50.1,0.659126213592233,0.29194174757281555,0.024563106796116504,0.13859356987319071,5,True
01039,2014,36256.0,42.6,0.8356695968955413,0.12800612444233256,0.014888730498138908,0.14555480021149633,6,True
01039,2016,37313.0,42.9,0.8351400779241432,0.12976755281083516,0.01531978054016804,0.14921485731541598,6,True
01039,2018,40601.0,43.9,0.833873256405451,0.12824288506331824,0.01617091911863136,0.1494818064906574,6,True
01039,2020,42566.0,43.3,0.8312216950614622,0.12599741211990512,0.017710804399396162,0.15614806948342563,6,True
01039,2022,48772.0,42.9,0.8246230888072026,0.1226892547014011,0.019950988226519632,0.1630808787386093,6,True
01039,2024,52456.0,43.3,0.8232699053896035,0.11898054640161582,0.020330604868714786,0.17169347209082308,6,True
01041,2014,37349.0,41.0,0.7083512699095996,0.2345386712584302,0.016429903859951214,0.12469822609425843,6,True
01041,2016,37557.0,41.6,0.7086931491076569,0.2367587795048935,0.01683937823834197,0.14647680871112972,6,True
01041,2018,39812.0,41.5,0.7117922827262892,0.226974395961053,0.01983411467724486,0.15555555555555556,6,True
01041,2020,42611.0,42.3,0.7069289743960654,0.22949515405757268,0.02205988716910169,0.18504750103263115,6,True
01041,2022,48557.0,42.3,0.6986747444149943,0.22915562287012495,0.025369178341537298,0.17195015303891562,6,True
01041,2024,48560.0,42.2,0.6981405273586343,0.23571101966163693,0.02194787379972565,0.18712295711308544,6,True
01043,2014,39415.0,40.5,0.9230921802945405,0.010983289532404423,0.04315217930282144,0.15142650776453592,5,True
01043,2016,39297.0,40.5,0.9246396773082788,0.01036696345122731,0.04213192975552167,0.14969017985547645,5,True
01043,2018,42558.0,40.6,0.921191063380025,0.011589906819092975,0.04304301872122265,0.13748863874711598,5,True
01043,2020,48388.0,41.2,0.91382806407103,0.011302417661527385,0.04410582518447417,0.15415604985882514,5,True
